"day","aliveThatDay","diedThatDay","totalDeaths",
"913","62","1","1378",
"914","63","1","1379",
"915","63","1","1380",
"916","61","3","1383",
"917","57","5","1388",
"918","59","0","1388",
"919","59","2","1390",
"920","57","2","1392",
"921","56","2","1394",
"922","58","0","1394",
"923","56","2","1396",
"924","54","3","1399",
"925","56","0","1399",
"926","58","0","1399",
"927","57","3","1402",
"928","54","3","1405",
"929","56","0","1405",
"930","54","4","1409",
"931","52","2","1411",
"932","53","2","1413",
"933","55","0","1413",
"934","55","1","1414",
"935","53","2","1416",
"936","53","1","1417",
"937","51","2","1419",
"938","50","4","1423",
"939","50","1","1424",
"940","49","2","1426",
"941","49","2","1428",
"942","50","2","1430",
"943","49","4","1434",
"944","49","2","1436",
"945","52","0","1436",
"946","52","1","1437",
"947","51","2","1439",
"948","51","0","1439",
"949","50","2","1441",
"950","48","2","1443",
"951","48","1","1444",
"952","49","0","1444",
"953","50","0","1444",
"954","49","2","1446",
"955","47","3","1449",
"956","50","0","1449",
"957","52","0","1449",
"958","51","2","1451",
"959","49","2","1453",
"960","51","0","1453",
"961","47","5","1458",
"962","46","2","1460",
"963","45","1","1461",
"964","42","3","1464",
"965","42","2","1466",
"966","42","1","1467",
"967","40","3","1470",
"968","40","1","1471",
"969","41","1","1472",
"970","43","0","1472",
"971","44","1","1473",
"972","47","0","1473",
"973","48","0","1473",
"974","50","0","1473",
"975","49","1","1474",
"976","50","0","1474",
"977","50","2","1476",
"978","51","1","1477",
"979","51","2","1479",
"980","50","1","1480",
"981","49","1","1481",
"982","47","2","1483",
"983","47","1","1484",
"984","49","0","1484",
"985","49","1","1485",
"986","50","1","1486",
"987","49","1","1487",
"988","46","5","1492",
"989","46","2","1494",
"990","45","2","1496",
"991","44","1","1497",
"992","42","2","1499",
"993","44","0","1499",
"994","44","0","1499",
"995","44","1","1500",
"996","45","1","1501",
"997","47","0","1501",
"998","48","0","1501",
"999","48","2","1503",
"1000","51","0","1503",
"1001","51","1","1504",
"1002","55","1","1505",
"1003","55","1","1506",
"1004","52","3","1509",
"1005","52","1","1510",
"1006","51","1","1511",
"1007","49","3","1514",
"1008","50","2","1516",
"1009","50","3","1519",
"1010","51","1","1520",
"1011","52","0","1520",
"1012","52","0","1520",
"1013","51","3","1523",
"1014","51","2","1525",
"1015","50","2","1527",
"1016","50","0","1527",
"1017","51","1","1528",
"1018","51","2","1530",
"1019","52","0","1530",
"1020","52","2","1532",
"1021","51","1","1533",
"1022","51","1","1534",
"1023","51","1","1535",
"1024","49","2","1537",
"1025","47","3","1540",
"1026","47","1","1541",
"1027","48","0","1541",
"1028","49","0","1541",
"1029","49","3","1544",
"1030","49","1","1545",
"1031","48","3","1548",
"1032","51","0","1548",
"1033","50","1","1549",
"1034","49","1","1550",
"1035","49","2","1552",
"1036","49","2","1554",
"1037","49","1","1555",
"1038","49","2","1557",
"1039","49","2","1559",
"1040","50","1","1560",
"1041","52","1","1561",
"1042","56","0","1561",
"1043","56","1","1562",
"1044","56","2","1564",
"1045","59","0","1564",
"1046","58","2","1566",
"1047","60","2","1568",
"1048","61","2","1570",
"1049","62","0","1570",
"1050","57","6","1576",
"1051","57","3","1579",
"1052","56","2","1581",
"1053","55","3","1584",
"1054","57","1","1585",
"1055","57","2","1587",
"1056","56","2","1589",
"1057","54","4","1593",
"1058","54","3","1596",
"1059","53","1","1597",
"1060","53","1","1598",
"1061","52","2","1600",
"1062","53","1","1601",
"1063","50","4","1605",
"1064","49","1","1606",
"1065","50","0","1606",
"1066","49","4","1610",
"1067","51","0","1610",
"1068","51","1","1611",
"1069","52","2","1613",
"1070","54","0","1613",
"1071","54","2","1615",
"1072","56","2","1617",
"1073","57","1","1618",
"1074","57","1","1619",
"1075","56","2","1621",
"1076","58","1","1622",
"1077","58","2","1624",
"1078","57","2","1626",
"1079","57","2","1628",
"1080","59","0","1628",
"1081","60","2","1630",
"1082","59","2","1632",
"1083","57","2","1634",
"1084","57","2","1636",
"1085","55","2","1638",
"1086","54","3","1641",
"1087","52","4","1645",
"1088","52","1","1646",
"1089","52","2","1648",
"1090","53","3","1651",
"1091","54","2","1653",
"1092","55","1","1654",
"1093","57","1","1655",
"1094","56","2","1657",
"1095","56","1","1658",
"1096","55","2","1660",
"1097","56","2","1662",
"1098","54","3","1665",
"1099","58","1","1666",
"1100","55","4","1670",
"1101","53","3","1673",
"1102","53","2","1675",
"1103","55","1","1676",
"1104","58","0","1676",
"1105","60","1","1677",
"1106","63","0","1677",
"1107","62","2","1679",
"1108","64","0","1679",
"1109","64","1","1680",
"1110","61","5","1685",
"1111","59","2","1687",
"1112","58","4","1691",
"1113","55","4","1695",
"1114","54","1","1696",
"1115","54","0","1696",
"1116","56","0","1696",
"1117","55","1","1697",
"1118","54","1","1698",
"1119","53","2","1700",
"1120","52","3","1703",
"1121","52","3","1706",
"1122","52","1","1707",
"1123","47","6","1713",
"1124","47","1","1714",
"1125","47","2","1716",
"1126","46","2","1718",
"1127","48","3","1721",
"1128","47","1","1722",
"1129","46","2","1724",
"1130","48","3","1727",
"1131","48","1","1728",
"1132","49","0","1728",
"1133","52","0","1728",
"1134","52","0","1728",
"1135","54","0","1728",
"1136","56","1","1729",
"1137","55","2","1731",
"1138","56","2","1733",
"1139","58","0","1733",
"1140","64","0","1733",
"1141","63","2","1735",
"1142","62","2","1737",
"1143","64","0","1737",
"1144","65","2","1739",
"1145","66","2","1741",
"1146","67","3","1744",
"1147","67","1","1745",
"1148","67","3","1748",
"1149","69","2","1750",
"1150","68","2","1752",
"1151","66","3","1755",
"1152","64","3","1758",
"1153","64","1","1759",
"1154","64","2","1761",
"1155","66","1","1762",
"1156","63","3","1765",
"1157","58","5","1770",
"1158","59","0","1770",
